,sepal_length,sepal_width,petal_length,petal_width,species,prod_pet_len_wid,prod_sep_len_wid
0,5.1,3.5,1.4,0.2,setosa,0.27999999999999997,17.849999999999998
1,4.9,3.0,1.4,0.2,setosa,0.27999999999999997,14.700000000000001
2,4.7,3.2,1.3,0.2,setosa,0.26,15.040000000000001
3,4.6,3.1,1.5,0.2,setosa,0.30000000000000004,14.26
4,5.0,3.6,1.4,0.2,setosa,0.27999999999999997,18.0
5,5.4,3.9,1.7,0.4,setosa,0.68,21.060000000000002
6,4.6,3.4,1.4,0.3,setosa,0.42,15.639999999999999
7,5.0,3.4,1.5,0.2,setosa,0.30000000000000004,17.0
8,4.4,2.9,1.4,0.2,setosa,0.27999999999999997,12.76
9,4.9,3.1,1.5,0.1,setosa,0.15000000000000002,15.190000000000001
10,5.4,3.7,1.5,0.2,setosa,0.30000000000000004,19.980000000000004
11,4.8,3.4,1.6,0.2,setosa,0.32000000000000006,16.32
12,4.8,3.0,1.4,0.1,setosa,0.13999999999999999,14.399999999999999
13,4.3,3.0,1.1,0.1,setosa,0.11000000000000001,12.899999999999999
14,5.8,4.0,1.2,0.2,setosa,0.24,23.2
15,5.7,4.4,1.5,0.4,setosa,0.6000000000000001,25.080000000000002
16,5.4,3.9,1.3,0.4,setosa,0.52,21.060000000000002
17,5.1,3.5,1.4,0.3,setosa,0.42,17.849999999999998
18,5.7,3.8,1.7,0.3,setosa,0.51,21.66
19,5.1,3.8,1.5,0.3,setosa,0.44999999999999996,19.38
20,5.4,3.4,1.7,0.2,setosa,0.34,18.36
21,5.1,3.7,1.5,0.4,setosa,0.6000000000000001,18.87
22,4.6,3.6,1.0,0.2,setosa,0.2,16.56
23,5.1,3.3,1.7,0.5,setosa,0.85,16.83
24,4.8,3.4,1.9,0.2,setosa,0.38,16.32
25,5.0,3.0,1.6,0.2,setosa,0.32000000000000006,15.0
26,5.0,3.4,1.6,0.4,setosa,0.6400000000000001,17.0
27,5.2,3.5,1.5,0.2,setosa,0.30000000000000004,18.2
28,5.2,3.4,1.4,0.2,setosa,0.27999999999999997,17.68
29,4.7,3.2,1.6,0.2,setosa,0.32000000000000006,15.040000000000001
30,4.8,3.1,1.6,0.2,setosa,0.32000000000000006,14.879999999999999
31,5.4,3.4,1.5,0.4,setosa,0.6000000000000001,18.36
32,5.2,4.1,1.5,0.1,setosa,0.15000000000000002,21.32
33,5.5,4.2,1.4,0.2,setosa,0.27999999999999997,23.1
